time,x_in_vel,y_in_vel,x_out_vel,y_out_vel,EncA,EncB,EncC,InVelA,InVelB,InVelC,OutVelA,OutVelB,OutVelC
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
0.05,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,-0.24,0.24,0.0,0.0,0.0
0.1,0.0,0.01,0.0,0.0,0.0,-11.0,11.0,0.0,-0.48,0.48,0.0,0.0,0.0
0.2,0.0,0.02,0.0,0.02,0.0,-34.0,32.0,0.0,-0.96,0.96,0.0,-0.83,0.83
0.25,0.0,0.03,0.0,0.04,0.0,-61.0,52.0,0.0,-1.2,1.2,0.0,-1.92,1.81
0.35000000000000003,0.0,0.04,0.0,0.06,0.0,-92.0,78.0,0.0,-1.68,1.68,0.0,-2.76,2.35
0.4,0.0,0.04,0.0,0.07,0.0,-118.0,97.0,0.0,-1.92,1.92,0.0,-3.47,2.94
0.45,0.0,0.05,0.0,0.08,0.0,-145.0,124.0,0.0,-2.16,2.16,0.0,-3.81,3.13
0.55,0.0,0.06,0.0,0.08,0.0,-171.0,152.0,0.0,-2.64,2.64,0.0,-4.1,3.5
0.6000000000000001,0.0,0.06,0.0,0.09,0.0,-198.0,182.0,0.0,-2.88,2.88,0.0,-4.29,3.82
0.7000000000000001,0.0,0.07,0.0,0.09,0.0,-226.0,207.0,0.0,-3.36,3.36,0.0,-4.48,4.11
0.75,0.0,0.08,0.0,0.1,0.0,-249.0,228.0,0.0,-3.6,3.6,0.0,-4.64,4.25
0.8500000000000001,0.0,0.09,0.0,0.1,0.0,-275.0,256.0,0.0,-4.08,4.08,0.0,-4.69,4.29
0.9,0.0,0.09,0.0,0.1,0.0,-304.0,285.0,0.0,-4.32,4.32,0.0,-4.78,4.45
1.0,0.0,0.1,0.0,0.1,0.0,-327.0,312.0,0.0,-4.56,4.56,0.0,-4.91,4.6
1.05,0.0,0.1,0.0,0.11,0.0,-349.0,329.0,0.0,-4.56,4.56,0.0,-4.93,4.7
1.1500000000000001,0.0,0.1,0.0,0.11,0.0,-376.0,354.0,0.0,-4.56,4.56,0.0,-4.93,4.65
1.2000000000000002,0.0,0.1,0.0,0.11,0.0,-399.0,375.0,0.0,-4.56,4.56,0.0,-5.0,4.71
1.3,0.0,0.1,0.0,0.11,0.0,-425.0,390.0,0.0,-4.56,4.56,0.0,-5.01,4.71
1.35,0.0,0.1,0.0,0.11,0.0,-450.0,411.0,0.0,-4.56,4.56,0.0,-5.06,4.64
1.4500000000000002,0.0,0.1,0.0,0.11,0.0,-470.0,434.0,0.0,-4.56,4.56,0.0,-5.09,4.64
1.5,0.0,0.1,0.0,0.11,0.0,-486.0,451.0,0.0,-4.56,4.56,0.0,-5.06,4.67
1.6,0.0,0.1,0.0,0.11,0.0,-501.0,471.0,0.0,-4.56,4.56,0.0,-4.99,4.63
1.6500000000000001,0.0,0.1,0.0,0.1,0.0,-516.0,493.0,0.0,-4.56,4.56,0.0,-4.92,4.63
1.75,0.0,0.1,0.0,0.1,0.0,-543.0,517.0,0.0,-4.56,4.56,0.0,-4.86,4.64
1.8,0.0,0.1,0.0,0.11,0.0,-562.0,532.0,0.0,-4.56,4.56,0.0,-4.91,4.67
1.9000000000000001,0.0,0.1,0.0,0.1,0.0,-584.0,548.0,0.0,-4.56,4.56,0.0,-4.89,4.62
2.0,0.0,0.1,0.0,0.1,0.0,-595.0,568.0,0.0,-4.56,4.56,0.0,-4.89,4.59
2.0500000000000003,0.0,0.1,0.0,0.1,0.0,-613.0,582.0,0.0,-4.56,4.56,0.0,-4.8,4.58
2.15,0.0,0.1,0.0,0.1,0.0,-644.0,610.0,0.0,-4.56,4.56,0.0,-4.78,4.54
2.2,0.0,0.1,0.0,0.1,0.0,-659.0,634.0,0.0,-4.56,4.56,0.0,-4.85,4.6
2.25,0.0,0.1,0.0,0.1,0.0,-685.0,648.0,0.0,-4.56,4.56,0.0,-4.8,4.62
2.35,0.0,0.1,0.0,0.1,0.0,-703.0,671.0,0.0,-4.56,4.56,0.0,-4.84,4.58
2.4000000000000004,0.0,0.1,0.0,0.1,0.0,-729.0,692.0,0.0,-4.56,4.56,0.0,-4.81,4.6
2.45,0.0,0.1,0.0,0.1,0.0,-751.0,707.0,0.0,-4.56,4.56,0.0,-4.85,4.6
2.5500000000000003,0.0,0.1,0.0,0.1,0.0,-767.0,727.0,0.0,-4.56,4.56,0.0,-4.85,4.57
