time,x_in_vel,y_in_vel,x_out_vel,y_out_vel,EncA,EncB,EncC,InVelA,InVelB,InVelC,OutVelA,OutVelB,OutVelC
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
0.05,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,-0.24,0.24,0.0,0.0,0.0
0.15000000000000002,0.0,0.02,0.0,0.0,0.0,-11.0,10.0,0.0,-0.72,0.72,0.0,0.0,0.0
0.2,0.0,0.02,0.0,0.02,0.0,-31.0,30.0,0.0,-0.96,0.96,0.0,-0.75,0.68
0.30000000000000004,0.0,0.03,0.0,0.04,0.0,-54.0,56.0,0.0,-1.44,1.44,0.0,-1.75,1.7
0.35000000000000003,0.0,0.04,-0.0,0.05,0.0,-80.0,76.0,0.0,-1.68,1.68,0.0,-2.44,2.53
0.45,0.0,0.05,0.0,0.06,0.0,-107.0,103.0,0.0,-2.16,2.16,0.0,-3.01,2.86
0.5,0.0,0.05,0.0,0.07,0.0,-133.0,130.0,0.0,-2.4,2.4,0.0,-3.45,3.33
0.55,0.0,0.06,0.0,0.08,0.0,-163.0,162.0,0.0,-2.64,2.64,0.0,-3.76,3.67
0.65,0.0,0.07,0.0,0.09,0.0,-191.0,184.0,0.0,-3.12,3.12,0.0,-4.09,4.07
0.75,0.0,0.08,0.0,0.09,0.0,-222.0,212.0,0.0,-3.6,3.6,0.0,-4.32,4.16
0.8,0.0,0.08,0.0,0.1,0.0,-248.0,235.0,0.0,-3.84,3.84,0.0,-4.56,4.36
0.9,0.0,0.09,0.0,0.1,0.0,-281.0,263.0,0.0,-4.32,4.32,0.0,-4.67,4.43
0.9500000000000001,0.0,0.1,0.0,0.1,0.0,-315.0,297.0,0.0,-4.56,4.56,0.0,-4.89,4.57
1.05,0.0,0.1,0.0,0.11,0.0,-334.0,315.0,0.0,-4.56,4.56,0.0,-5.09,4.79
1.1,0.0,0.1,0.0,0.11,0.0,-350.0,331.0,0.0,-4.56,4.56,0.0,-5.03,4.75
1.2000000000000002,0.0,0.1,0.0,0.11,0.0,-363.0,347.0,0.0,-4.56,4.56,0.0,-4.94,4.68
1.25,0.0,0.1,0.0,0.1,0.0,-386.0,370.0,0.0,-4.56,4.56,0.0,-4.83,4.61
1.3,0.0,0.1,0.0,0.1,0.0,-411.0,397.0,0.0,-4.56,4.56,0.0,-4.85,4.65
1.4000000000000001,0.0,0.1,0.0,0.11,0.0,-427.0,423.0,0.0,-4.56,4.56,0.0,-4.89,4.72
1.4500000000000002,0.0,0.1,0.0,0.11,0.0,-440.0,446.0,0.0,-4.56,4.56,0.0,-4.83,4.78
1.55,0.0,0.1,-0.0,0.1,0.0,-451.0,459.0,0.0,-4.56,4.56,0.0,-4.74,4.8
1.6,0.0,0.1,-0.0,0.1,0.0,-474.0,478.0,0.0,-4.56,4.56,0.0,-4.63,4.72
1.7000000000000002,0.0,0.1,-0.0,0.1,0.0,-487.0,502.0,0.0,-4.56,4.56,0.0,-4.66,4.7
1.75,0.0,0.1,-0.0,0.1,0.0,-507.0,524.0,0.0,-4.56,4.56,0.0,-4.59,4.73
1.85,0.0,0.1,-0.0,0.1,0.0,-526.0,550.0,0.0,-4.56,4.56,0.0,-4.58,4.74
1.9000000000000001,0.0,0.1,-0.0,0.1,0.0,-550.0,577.0,0.0,-4.56,4.56,0.0,-4.57,4.78
1.9500000000000002,0.0,0.1,-0.0,0.1,0.0,-573.0,589.0,0.0,-4.56,4.56,0.0,-4.6,4.83
2.0500000000000003,0.0,0.1,-0.0,0.1,0.0,-591.0,616.0,0.0,-4.56,4.56,0.0,-4.63,4.75
2.1,0.0,0.1,-0.0,0.1,0.0,-610.0,636.0,0.0,-4.56,4.56,0.0,-4.61,4.8
2.15,0.0,0.1,-0.0,0.1,0.0,-620.0,654.0,0.0,-4.56,4.56,0.0,-4.6,4.79
2.25,0.0,0.1,-0.0,0.1,0.0,-631.0,671.0,0.0,-4.56,4.56,0.0,-4.52,4.77
2.3000000000000003,0.0,0.1,-0.0,0.1,0.0,-653.0,690.0,0.0,-4.56,4.56,0.0,-4.46,4.74
2.4000000000000004,0.0,0.1,-0.0,0.1,0.0,-671.0,709.0,0.0,-4.56,4.56,0.0,-4.47,4.73
2.45,0.0,0.1,-0.0,0.1,0.0,-693.0,733.0,0.0,-4.56,4.56,0.0,-4.46,4.71
2.5500000000000003,0.0,0.1,-0.0,0.1,0.0,-726.0,755.0,0.0,-4.56,4.56,0.0,-4.48,4.73
